,time,Nederbördsmängd
862,2020-02-21:23,0.0
863,2020-02-22:00,0.0
864,2020-02-22:01,0.0
865,2020-02-22:02,0.0
866,2020-02-22:03,0.0
867,2020-02-22:04,0.0
868,2020-02-22:05,0.2
869,2020-02-22:06,0.3
870,2020-02-22:07,0.0
871,2020-02-22:08,0.1
872,2020-02-22:09,0.0
873,2020-02-22:10,0.0
874,2020-02-22:11,0.1
875,2020-02-22:12,0.3
876,2020-02-22:13,0.0
877,2020-02-22:14,0.4
878,2020-02-22:15,0.0
879,2020-02-22:16,0.0
880,2020-02-22:17,0.0
881,2020-02-22:18,0.0
882,2020-02-22:19,0.2
883,2020-02-22:20,0.0
884,2020-02-22:21,0.0
885,2020-02-22:22,0.0
886,2020-02-22:23,0.0
887,2020-02-23:00,0.0
888,2020-02-23:01,0.0
889,2020-02-23:02,0.0
890,2020-02-23:03,0.0
891,2020-02-23:04,0.0
892,2020-02-23:05,0.0
893,2020-02-23:06,0.0
894,2020-02-23:07,0.0
895,2020-02-23:08,0.0
896,2020-02-23:09,0.0
897,2020-02-23:10,0.0
898,2020-02-23:11,0.0
899,2020-02-23:12,0.0
900,2020-02-23:13,0.0
901,2020-02-23:14,0.0
902,2020-02-23:15,0.0
903,2020-02-23:16,0.0
904,2020-02-23:17,0.0
905,2020-02-23:18,0.0
906,2020-02-23:19,0.0
907,2020-02-23:20,0.0
908,2020-02-23:21,0.0
909,2020-02-23:22,0.0
910,2020-02-23:23,0.0
911,2020-02-24:00,0.2
912,2020-02-24:01,0.0
913,2020-02-24:02,0.0
914,2020-02-24:03,0.0
915,2020-02-24:04,0.0
916,2020-02-24:05,0.0
917,2020-02-24:06,0.0
918,2020-02-24:07,0.0
919,2020-02-24:08,0.0
920,2020-02-24:09,0.0
921,2020-02-24:10,0.0
922,2020-02-24:11,0.0
923,2020-02-24:12,0.0
924,2020-02-24:13,0.0
925,2020-02-24:14,0.0
926,2020-02-24:15,0.0
927,2020-02-24:16,0.0
